,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3783,0.4862,0.6151,0.1561,0.3987,0.3937,0.7074,0.6140,0.8410,0.0214,0.3838,0.4511
DecisionTreeRegressor,0.4295,0.4672,0.6554,0.0419,0.4949,0.5274,0.5801,0.4878,0.7617,0.1975,0.5294,0.5503
RandomForestRegressor,0.2902,0.3903,0.5387,0.3526,0.5987,0.6234,0.5822,0.5074,0.7630,0.1946,0.5661,0.6106
GradientBoostingRegressor,0.2652,0.3582,0.5149,0.4085,0.6434,0.6607,0.5769,0.4980,0.7595,0.2019,0.5584,0.6330
AdaBoostRegressor,0.3376,0.4521,0.5810,0.2469,0.5016,0.5328,0.6304,0.5785,0.7940,0.1279,0.5990,0.6114
XGBRegressor,0.3295,0.4095,0.5740,0.2649,0.5883,0.6180,0.6038,0.4775,0.7770,0.1647,0.5237,0.6205
ExtraTreesRegressor,0.4113,0.4588,0.6414,0.0824,0.4972,0.5305,0.5686,0.4847,0.7540,0.2134,0.5401,0.5675
LinearRegression,0.6455,0.5796,0.8034,-0.4400,0.3567,0.3965,1.0545,0.7214,1.0269,-0.4589,0.0997,0.1768
KNeighborsRegressor,0.3553,0.4397,0.5961,0.2074,0.5231,0.5529,0.6787,0.5560,0.8239,0.0610,0.5246,0.5837
SVR,0.2954,0.4006,0.5435,0.3411,0.5909,0.6007,0.6517,0.5279,0.8073,0.0985,0.5211,0.6127
MLPRegressor,1.2304,0.8398,1.1092,-1.7447,0.1206,0.1132,1.1747,0.8414,1.0838,-0.6251,0.2359,0.2271
