,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3519,0.4817,0.5932,0.2150,0.4641,0.4516,0.6873,0.6070,0.8290,0.0491,0.4513,0.5058
DecisionTreeRegressor,0.4732,0.5288,0.6879,-0.0556,0.3794,0.4040,0.5937,0.5448,0.7705,0.1786,0.5170,0.6273
RandomForestRegressor,0.3976,0.4878,0.6305,0.1131,0.4210,0.4637,0.5814,0.5635,0.7625,0.1957,0.5528,0.6309
GradientBoostingRegressor,0.3715,0.4759,0.6095,0.1712,0.4564,0.4703,0.5872,0.5531,0.7663,0.1876,0.5475,0.6329
AdaBoostRegressor,0.3603,0.4820,0.6003,0.1962,0.4506,0.4381,0.6460,0.5951,0.8038,0.1062,0.4980,0.5160
XGBRegressor,0.4473,0.5099,0.6688,0.0023,0.4002,0.4278,0.5746,0.5408,0.7581,0.2050,0.5342,0.6204
ExtraTreesRegressor,0.4566,0.5175,0.6757,-0.0186,0.3926,0.4143,0.5988,0.5481,0.7738,0.1717,0.5129,0.6119
LinearRegression,0.4199,0.5261,0.6480,0.0633,0.4038,0.4071,0.7005,0.5771,0.8370,0.0309,0.4059,0.5347
KNeighborsRegressor,0.5113,0.5552,0.7150,-0.1405,0.2847,0.2840,0.6487,0.6229,0.8054,0.1026,0.5277,0.5039
SVR,0.3797,0.4898,0.6162,0.1529,0.4170,0.3994,0.7829,0.5988,0.8848,-0.0831,0.3836,0.5045
MLPRegressor,0.9366,0.7280,0.9678,-1.0894,0.0200,0.1005,0.7279,0.6349,0.8531,-0.0069,0.4115,0.5401
