,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3076,0.4464,0.5547,0.3137,0.5620,0.5827,0.6537,0.5759,0.8085,0.0957,0.4875,0.5324
DecisionTreeRegressor,0.4231,0.4820,0.6504,0.0563,0.4961,0.4926,0.3684,0.4144,0.6070,0.4903,0.7334,0.7848
RandomForestRegressor,0.2495,0.3876,0.4995,0.4434,0.6709,0.6956,0.4711,0.4611,0.6864,0.3483,0.6801,0.7202
GradientBoostingRegressor,0.2929,0.4182,0.5412,0.3465,0.6059,0.6208,0.3513,0.4074,0.5927,0.5139,0.7738,0.8029
AdaBoostRegressor,0.2884,0.4363,0.5370,0.3567,0.6012,0.6251,0.5285,0.5253,0.7270,0.2688,0.6486,0.7033
XGBRegressor,0.2545,0.3771,0.5045,0.4322,0.6722,0.6765,0.4329,0.4187,0.6579,0.4011,0.6899,0.7726
ExtraTreesRegressor,0.2656,0.3848,0.5153,0.4076,0.6527,0.6754,0.4532,0.4363,0.6732,0.3731,0.6670,0.7550
LinearRegression,0.4224,0.4943,0.6499,0.0578,0.4306,0.4840,0.6415,0.5990,0.8010,0.1125,0.4877,0.5458
KNeighborsRegressor,0.3574,0.4462,0.5979,0.2027,0.5340,0.5692,0.6021,0.5459,0.7759,0.1671,0.5712,0.6098
SVR,0.3372,0.4432,0.5807,0.2477,0.5189,0.5472,0.6560,0.5876,0.8099,0.0925,0.5709,0.6176
MLPRegressor,0.9578,0.7176,0.9787,-1.1367,0.1178,0.1838,0.9766,0.7257,0.9882,-0.3511,0.2699,0.3050
