,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4250,0.5387,0.6519,0.0519,0.2334,0.1666,0.7419,0.6609,0.8613,-0.0264,0.4574,0.5202
DecisionTreeRegressor,0.4208,0.5361,0.6487,0.0613,0.3087,0.2847,0.6855,0.6412,0.8280,0.0517,0.5511,0.4765
RandomForestRegressor,0.4129,0.5295,0.6426,0.0790,0.3117,0.3013,0.6807,0.6386,0.8251,0.0582,0.5566,0.4844
GradientBoostingRegressor,0.4143,0.5320,0.6436,0.0759,0.3145,0.2874,0.6976,0.6460,0.8353,0.0349,0.4899,0.3886
AdaBoostRegressor,0.3992,0.5176,0.6318,0.1096,0.3363,0.3266,0.7249,0.6583,0.8514,-0.0028,0.4350,0.4351
XGBRegressor,0.4224,0.5410,0.6499,0.0577,0.3031,0.2980,0.6835,0.6332,0.8268,0.0544,0.5200,0.4612
ExtraTreesRegressor,0.4190,0.5366,0.6473,0.0653,0.3111,0.2908,0.6822,0.6364,0.8260,0.0562,0.5536,0.4761
LinearRegression,0.4402,0.5435,0.6634,0.0181,0.2594,0.2699,0.7324,0.6704,0.8558,-0.0132,0.3784,0.3800
KNeighborsRegressor,0.8065,0.6999,0.8981,-0.7992,-0.0873,-0.0468,0.8424,0.7184,0.9178,-0.1654,0.0750,0.0868
SVR,0.4421,0.5516,0.6649,0.0139,0.2362,0.2501,0.7524,0.6544,0.8674,-0.0409,0.4729,0.4741
MLPRegressor,0.8722,0.7211,0.9339,-0.9457,-0.0871,-0.0087,0.9251,0.7360,0.9618,-0.2798,0.2687,0.2991
