,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.4342,0.5154,0.6589,0.0315,0.3809,0.4126,0.5830,0.5592,0.7636,0.1934,0.4995,0.5794
LGBMRegressor,0.3755,0.4834,0.6128,0.1624,0.4112,0.4516,0.6874,0.5899,0.8291,0.0490,0.4336,0.5221
XGBRegressor,0.4443,0.5228,0.6666,0.0089,0.4004,0.4212,0.7775,0.5957,0.8818,-0.0756,0.2940,0.4028
DecisionTreeRegressor,0.4377,0.5130,0.6616,0.0237,0.4266,0.4402,0.7876,0.5880,0.8875,-0.0896,0.3010,0.4203
RandomForestRegressor,0.4094,0.5041,0.6398,0.0868,0.4018,0.4282,0.7603,0.5917,0.8720,-0.0518,0.3017,0.4071
GradientBoostingRegressor,0.3956,0.4992,0.6289,0.1176,0.4222,0.4487,0.6485,0.5418,0.8053,0.1028,0.4452,0.5529
AdaBoostRegressor,0.4106,0.5017,0.6408,0.0841,0.3258,0.3495,0.7166,0.5889,0.8465,0.0086,0.3853,0.4700
SVR,0.4235,0.5085,0.6508,0.0553,0.3764,0.4069,0.6692,0.5688,0.8180,0.0743,0.4777,0.4833
LinearRegression,0.4344,0.5305,0.6591,0.0310,0.2643,0.3265,0.7726,0.6356,0.8790,-0.0689,0.3271,0.3970
KNeighborsRegressor,0.4834,0.5414,0.6953,-0.0784,0.3158,0.3341,0.7266,0.6260,0.8524,-0.0052,0.4027,0.4447
MLPRegressor,1.2460,0.8858,1.1162,-1.7794,0.1125,0.0885,1.8210,1.0065,1.3495,-1.5193,0.1712,0.0034
