,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.4810,0.5304,0.6935,-0.0729,0.2955,0.3176,0.5848,0.5387,0.7647,0.1910,0.5256,0.5834
LGBMRegressor,0.3765,0.4863,0.6136,0.1602,0.4093,0.4551,0.6052,0.5535,0.7779,0.1628,0.5577,0.6153
XGBRegressor,0.4549,0.5236,0.6745,-0.0147,0.3557,0.3768,0.6560,0.5399,0.8099,0.0924,0.4372,0.5480
DecisionTreeRegressor,0.4491,0.5184,0.6702,-0.0019,0.4225,0.4169,0.6917,0.5335,0.8317,0.0431,0.4087,0.4853
RandomForestRegressor,0.4242,0.5101,0.6513,0.0538,0.3544,0.3981,0.6701,0.5408,0.8186,0.0729,0.4393,0.5497
GradientBoostingRegressor,0.3912,0.4926,0.6255,0.1272,0.4244,0.4490,0.6773,0.5445,0.8230,0.0631,0.4279,0.5395
AdaBoostRegressor,0.3623,0.4713,0.6019,0.1918,0.4391,0.4548,0.7030,0.5829,0.8385,0.0274,0.4039,0.4899
SVR,0.4195,0.4883,0.6477,0.0643,0.3794,0.4044,0.7192,0.6009,0.8481,0.0050,0.4441,0.4791
LinearRegression,0.3749,0.4868,0.6123,0.1636,0.4238,0.4152,0.7820,0.6568,0.8843,-0.0819,0.3039,0.4169
KNeighborsRegressor,0.4905,0.5352,0.7003,-0.0941,0.2822,0.3368,0.6850,0.6446,0.8277,0.0523,0.4798,0.4131
MLPRegressor,0.9828,0.7701,0.9914,-1.1923,0.2178,0.2006,1.8863,1.0048,1.3734,-1.6096,0.2364,0.1799
