,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.4865,0.5350,0.6975,-0.0853,0.2871,0.3061,0.5699,0.5315,0.7549,0.2115,0.5400,0.6021
LGBMRegressor,0.3765,0.4863,0.6136,0.1602,0.4093,0.4551,0.6052,0.5535,0.7779,0.1628,0.5577,0.6153
XGBRegressor,0.4549,0.5236,0.6745,-0.0147,0.3557,0.3768,0.6560,0.5399,0.8099,0.0924,0.4372,0.5480
DecisionTreeRegressor,0.4583,0.5243,0.6770,-0.0223,0.3990,0.3916,0.6988,0.5367,0.8360,0.0332,0.4137,0.5036
RandomForestRegressor,0.4230,0.5096,0.6503,0.0565,0.3578,0.3964,0.6695,0.5416,0.8182,0.0738,0.4413,0.5521
GradientBoostingRegressor,0.3899,0.4913,0.6245,0.1301,0.4263,0.4500,0.6714,0.5433,0.8194,0.0712,0.4348,0.5538
AdaBoostRegressor,0.3715,0.4900,0.6095,0.1712,0.4142,0.4522,0.6888,0.5843,0.8299,0.0471,0.4362,0.5114
SVR,0.4195,0.4884,0.6477,0.0642,0.3794,0.4044,0.7192,0.6009,0.8481,0.0050,0.4441,0.4791
LinearRegression,0.3749,0.4868,0.6123,0.1636,0.4238,0.4152,0.7820,0.6568,0.8843,-0.0819,0.3039,0.4169
KNeighborsRegressor,0.4902,0.5343,0.7002,-0.0936,0.2835,0.3369,0.6850,0.6446,0.8277,0.0523,0.4798,0.4131
MLPRegressor,1.0191,0.7903,1.0095,-1.2733,0.1739,0.1717,2.0783,1.0576,1.4416,-1.8752,0.2349,0.1842
