,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.3764,0.4626,0.6135,0.1604,0.5000,0.5175,0.6551,0.5824,0.8094,0.0937,0.4381,0.5117
LGBMRegressor,0.4048,0.4958,0.6363,0.0969,0.3240,0.3603,0.6288,0.6047,0.7930,0.1300,0.5633,0.5940
XGBRegressor,0.4519,0.5061,0.6722,-0.0080,0.4258,0.4475,0.6647,0.5804,0.8153,0.0804,0.4226,0.5123
DecisionTreeRegressor,0.4305,0.4910,0.6561,0.0397,0.4621,0.4740,0.6527,0.5669,0.8079,0.0970,0.4318,0.5329
RandomForestRegressor,0.3900,0.4805,0.6245,0.1300,0.4428,0.4558,0.6268,0.5739,0.7917,0.1329,0.4608,0.5436
GradientBoostingRegressor,0.3940,0.4811,0.6277,0.1210,0.4321,0.4485,0.6500,0.5813,0.8062,0.1008,0.4274,0.5646
AdaBoostRegressor,0.3669,0.4805,0.6057,0.1815,0.4278,0.4556,0.6216,0.5813,0.7884,0.1400,0.5475,0.5918
SVR,0.3786,0.4721,0.6153,0.1554,0.4317,0.4591,0.6796,0.5812,0.8244,0.0598,0.4012,0.4766
LinearRegression,0.4287,0.5064,0.6548,0.0436,0.3137,0.3307,0.7635,0.6208,0.8738,-0.0563,0.2975,0.3447
KNeighborsRegressor,0.4235,0.5158,0.6508,0.0552,0.4067,0.4064,0.6903,0.6079,0.8308,0.0451,0.4102,0.4909
MLPRegressor,0.9160,0.7339,0.9571,-1.0433,0.1991,0.2365,1.3038,0.8326,1.1418,-0.8037,-0.0331,0.0965
