,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.3171,0.4029,0.5631,0.2926,0.5898,0.6217,0.5169,0.4706,0.7189,0.2849,0.5823,0.6483
LGBMRegressor,0.4048,0.4958,0.6363,0.0969,0.3240,0.3603,0.6288,0.6047,0.7930,0.1300,0.5633,0.5940
XGBRegressor,0.3129,0.3986,0.5594,0.3020,0.6115,0.6525,0.5367,0.4883,0.7326,0.2575,0.5682,0.6344
DecisionTreeRegressor,0.4080,0.4715,0.6388,0.0898,0.5321,0.5700,0.6262,0.5108,0.7913,0.1337,0.4739,0.5542
RandomForestRegressor,0.3126,0.4063,0.5591,0.3026,0.5621,0.5936,0.5564,0.5006,0.7459,0.2303,0.5490,0.6071
GradientBoostingRegressor,0.3105,0.3902,0.5572,0.3074,0.5699,0.6098,0.5193,0.4750,0.7207,0.2815,0.6200,0.7273
AdaBoostRegressor,0.3415,0.4718,0.5844,0.2383,0.5004,0.5083,0.5654,0.5400,0.7519,0.2178,0.6111,0.6280
SVR,0.3121,0.4150,0.5587,0.3038,0.5562,0.5492,0.5709,0.5009,0.7555,0.2103,0.6531,0.7214
LinearRegression,0.5140,0.5146,0.7169,-0.1465,0.3740,0.3986,0.5939,0.5858,0.7706,0.1784,0.5870,0.6572
KNeighborsRegressor,0.3363,0.4173,0.5799,0.2498,0.5469,0.5845,0.5790,0.5005,0.7609,0.1990,0.5841,0.6519
MLPRegressor,1.1863,0.8309,1.0892,-1.6463,0.2254,0.1865,0.8897,0.7557,0.9432,-0.2308,0.7270,0.5762
