,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.3290,0.4135,0.5736,0.2660,0.5733,0.6095,0.5204,0.4745,0.7214,0.2800,0.5800,0.6476
LGBMRegressor,0.4048,0.4958,0.6363,0.0969,0.3240,0.3603,0.6288,0.6047,0.7930,0.1300,0.5633,0.5940
XGBRegressor,0.3129,0.3986,0.5594,0.3020,0.6115,0.6525,0.5367,0.4883,0.7326,0.2575,0.5682,0.6344
DecisionTreeRegressor,0.4315,0.4872,0.6569,0.0374,0.5098,0.5391,0.5973,0.5021,0.7729,0.1736,0.5013,0.5516
RandomForestRegressor,0.3136,0.4054,0.5600,0.3005,0.5616,0.5891,0.5607,0.5015,0.7488,0.2243,0.5430,0.6030
GradientBoostingRegressor,0.3096,0.3922,0.5564,0.3094,0.5700,0.6085,0.5183,0.4760,0.7199,0.2830,0.6211,0.7345
AdaBoostRegressor,0.3477,0.4777,0.5897,0.2244,0.4848,0.5234,0.5692,0.5464,0.7545,0.2125,0.6104,0.6589
SVR,0.3121,0.4150,0.5586,0.3038,0.5562,0.5492,0.5708,0.5009,0.7555,0.2103,0.6531,0.7202
LinearRegression,0.5140,0.5146,0.7169,-0.1465,0.3740,0.3985,0.5939,0.5858,0.7706,0.1784,0.5870,0.6572
KNeighborsRegressor,0.3399,0.4172,0.5830,0.2419,0.5407,0.5820,0.5766,0.4985,0.7593,0.2023,0.5856,0.6588
MLPRegressor,1.1830,0.8126,1.0876,-1.6389,0.1935,0.1667,0.8330,0.7628,0.9127,-0.1524,0.7487,0.6356
