,Train MSE (15 fold CV),Train MAE (15 fold CV),Train RMSE (15 fold CV),Train R2 (15 fold CV),Train PCC (15 fold CV),Train SCC (15 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.17543417047750157,0.31244152442342144,0.41884862477690143,0.6086526899649171,0.781454075083018,0.8020376845638568,0.33770958469632245,0.40169438098389876,0.5811278557222347,0.5328022638661125,0.7836765523799526,0.8425592242833032
DecisionTreeRegressor,0.2991810714285715,0.3977142857142857,0.5469744705455378,0.33260602995241006,0.659535312496769,0.6970744975768142,0.29450072222222207,0.4156481481481481,0.542679207471801,0.592578721638174,0.8049712867642883,0.8210079318909389
RandomForestRegressor,0.15255829641071422,0.2875560714285712,0.3905871175688136,0.659682724515037,0.8127137963603795,0.8361118747617025,0.3314003215768518,0.3862032407407405,0.5756737978897873,0.5415306908331479,0.7852972307959754,0.8425050037983999
GradientBoostingRegressor,0.17062990291844166,0.3066061462437882,0.413073725766287,0.6193697422974787,0.7887900743193234,0.804991204758397,0.32092207678391427,0.3970145717126459,0.5664998471172912,0.5560266141582711,0.7851233159549245,0.8334942550946738
AdaBoostRegressor,0.16173399990701426,0.3084772762257012,0.40216165892214817,0.6392141529067651,0.8000427287178263,0.8241752364552236,0.3396828496145067,0.3938002477441016,0.5828231718235872,0.5300723890140349,0.7823843344103353,0.8240973314465021
XGBRegressor,0.17042132912315933,0.31141529423849923,0.412821182987452,0.6198350153597638,0.7908728761194868,0.797853416346424,0.3702256584292242,0.4257661056518555,0.608461714842622,0.48781853605857983,0.74115234177258,0.7786574129834256
ExtraTreesRegressor,0.1457739410535714,0.28196178571428554,0.3818035372460179,0.6748168298726955,0.8220302872704709,0.8404549041079581,0.32385745243703695,0.3739487037037038,0.5690847497842804,0.5519657259810089,0.8010532851639514,0.8616850260391884
LinearRegression,0.15229275265548894,0.3090717104331228,0.39024704054674003,0.6602750825147424,0.8220910757853089,0.8177797423298488,0.22499944229560434,0.33367882104317304,0.47434106115284214,0.6887289113620519,0.843344082228452,0.8390294292983913
KNeighborsRegressor,0.18412682142857145,0.3185785714285715,0.42910001331690895,0.5892616810325302,0.770947463690504,0.7933881145223765,0.39117762333333334,0.4210537037037036,0.6254419424161873,0.45883294899104454,0.7296920649548473,0.7730432607824653
SVR,0.1613068205700083,0.307333105085591,0.4016302037571481,0.6401670772087116,0.800346212529867,0.8158028548530034,0.3611902407828136,0.40053242542640977,0.6009910488375128,0.5003184083178264,0.7297823236675735,0.7944905857056874
MLPRegressor,0.5497423081180896,0.6355720430486683,0.7414460925233132,-0.22632992711122157,0.577279740911332,0.6210903724958738,0.5106631652868804,0.6152798451925249,0.7146070005862526,0.29353300717380026,0.691952251627494,0.7435154930388934
