,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1566,0.2998,0.3957,0.6507,0.8074,0.8155,0.4299,0.4537,0.6557,0.4053,0.7086,0.7711
DecisionTreeRegressor,0.2711,0.3895,0.5206,0.3953,0.6973,0.7088,0.4609,0.4716,0.6789,0.3623,0.6769,0.7515
RandomForestRegressor,0.1683,0.3138,0.4102,0.6246,0.7925,0.8005,0.4879,0.4737,0.6985,0.3250,0.6756,0.7342
GradientBoostingRegressor,0.1701,0.3203,0.4124,0.6207,0.7896,0.8023,0.4241,0.4519,0.6512,0.4133,0.7252,0.7825
AdaBoostRegressor,0.1851,0.3265,0.4303,0.5870,0.7666,0.7753,0.4469,0.4545,0.6685,0.3818,0.7091,0.7572
XGBRegressor,0.1820,0.3160,0.4267,0.5939,0.7742,0.7748,0.3954,0.4454,0.6288,0.4531,0.7517,0.7859
ExtraTreesRegressor,0.1521,0.3029,0.3900,0.6606,0.8139,0.8311,0.4616,0.4639,0.6794,0.3614,0.6926,0.7678
LinearRegression,0.2053,0.3342,0.4530,0.5421,0.7622,0.7881,0.4414,0.4905,0.6644,0.3893,0.6709,0.7158
KNeighborsRegressor,0.2318,0.3439,0.4815,0.4829,0.7231,0.7363,0.5246,0.4420,0.7243,0.2742,0.6461,0.7637
SVR,0.1694,0.3085,0.4116,0.6221,0.7949,0.8066,0.4811,0.4413,0.6936,0.3344,0.6577,0.7489
MLPRegressor,1.0618,0.7745,1.0304,-1.3685,0.3384,0.3277,1.0152,0.7868,1.0076,-0.4045,0.4676,0.5024
