,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1805,0.3199,0.4248,0.5974,0.7744,0.7822,0.4759,0.4944,0.6898,0.3417,0.6752,0.7266
DecisionTreeRegressor,0.3262,0.4548,0.5711,0.2723,0.6505,0.6541,0.5460,0.5171,0.7389,0.2447,0.5911,0.6843
RandomForestRegressor,0.1675,0.3201,0.4093,0.6263,0.7918,0.7902,0.4877,0.4929,0.6983,0.3253,0.6703,0.7335
GradientBoostingRegressor,0.1865,0.3431,0.4319,0.5839,0.7725,0.7782,0.4542,0.4853,0.6740,0.3716,0.6978,0.7403
AdaBoostRegressor,0.1766,0.3242,0.4203,0.6059,0.7805,0.7785,0.4516,0.4909,0.6720,0.3753,0.6919,0.7454
XGBRegressor,0.1850,0.3426,0.4301,0.5873,0.7752,0.7828,0.4728,0.4812,0.6876,0.3459,0.6789,0.7584
ExtraTreesRegressor,0.1573,0.3101,0.3966,0.6490,0.8060,0.8029,0.5011,0.4987,0.7079,0.3068,0.6522,0.7407
LinearRegression,0.1849,0.3207,0.4301,0.5874,0.7681,0.7866,0.5875,0.5242,0.7665,0.1873,0.5581,0.6205
KNeighborsRegressor,0.1594,0.3024,0.3993,0.6444,0.8079,0.8055,0.4811,0.4819,0.6936,0.3344,0.6584,0.7206
SVR,0.1831,0.3133,0.4279,0.5915,0.7713,0.7787,0.5394,0.4966,0.7345,0.2537,0.6265,0.6938
MLPRegressor,2.0939,1.2899,1.4470,-3.6709,0.3183,0.2457,2.7216,1.3871,1.6497,-2.7652,0.3011,0.3947
